Miracle at St. Anna,2008
City of Ember,2008
In Bruges,2008
Expelled: No Intelligence Allowed,2008
Over Her Dead Body,2008
Avatar,2009
Transformers: Revenge of the Fallen,2009
Harry Potter and the Half-Blood Prince,2009
The Twilight Saga: New Moon,2009
Up,2009
The Hangover,2009
Star Trek,2009
The Blind Side,2009
Alvin and the Chipmunks: The Squeakquel,2009
Sherlock Holmes,2009
Monsters Vs. Aliens,2009
Ice Age: Dawn of the Dinosaurs,2009
X-Men Origins: Wolverine,2009
Night at the Museum: Battle of the Smithsonian,2009
2012,2009
The Proposal,2009
Fast and Furious,2009
G.I. Joe: The Rise of Cobra,2009
Paul Blart: Mall Cop,2009
Taken,2009
A Christmas Carol,2009
Angels & Demons,2009
Terminator Salvation,2009
Cloudy with a Chance of Meatballs,2009
Inglourious Basterds,2009
G-Force,2009
District 9,2009
It's Complicated,2009
Couples Retreat,2009
Paranormal Activity,2009
Watchmen,2009
The Princess and the Frog,2009
Public Enemies,2009
Julie & Julia,2009
He's Just Not That Into You,2009
The Ugly Truth,2009
Up in the Air,2009
Knowing,2009
Hannah Montana: The Movie,2009
Where the Wild Things Are,2009
Zombieland,2009
Coraline,2009
Law Abiding Citizen,2009
Hotel for Dogs,2009
Michael Jackson's This Is It,2009
"I Love You, Man",2009
Obsessed,2009
Race to Witch Mountain,2009
The Final Destination,2009
The Taking of Pelham 1 2 3,2009
Friday the 13th,2009
17 Again,2009
The Time Traveler's Wife,2009
Bruno,2009
Bride Wars,2009
The Haunting in Connecticut,2009
Ghosts of Girlfriends Past,2009
Funny People,2009
My Bloody Valentine 3-D,2009
Old Dogs,2009
Land of the Lost,2009
My Sister's Keeper,2009
Underworld: Rise of the Lycans,2009
Confessions of a Shopaholic,2009
The Lovely Bones,2009
Year One,2009
The Unborn,2009
Planet 51,2009
Drag Me to Hell,2009
Orphan,2009
Duplicity,2009
Surrogates,2009
Ninja Assassin,2009
Invictus,2009
State of Play,2009
Notorious,2009
The Pink Panther 2,2009
All About Steve,2009
Halloween II,2009
The Informant!,2009
The Men Who Stare at Goats,2009
(500) Days of Summer,2009
Push,2009
9,2009
The Soloist,2009
Did You Hear About the Morgans?,2009
The Stepfather,2009
The Uninvited,2009
Brothers,2009
Saw VI,2009
Dance Flick,2009
The Fourth Kind,2009
The International,2009
Aliens in the Attic,2009
Observe and Report,2009
Love Happens,2009
Fame,2009
Fantastic Mr. Fox,2009
Gamer,2009
Nine,2009
Astro Boy,2009
The Invention of Lying,2009
Inkheart,2009
Fired Up!,2009
The Hurt Locker,2009
Jennifer's Body,2009
Imagine That,2009
Adventureland,2009
Armored,2009
A Perfect Getaway,2009
The Box,2009
I Love You Beth Cooper,2009
Amelia,2009
Cirque du Freak: The Vampire's Assistant,2009
Crank: High Voltage,2009
Whip It,2009
An Education,2009
12 Rounds,2009
Sunshine Cleaning,2009
Sorority Row,2009
Extract,2009
Not Easily Broken,2009
Pandorum,2009
Whiteout,2009
Next Day Air,2009
Away We Go,2009
Dragonball Evolution,2009
A Serious Man,2009
Everybody's Fine,2009
Street Fighter: The Legend of Chun-Li,2009
My Life in Ruins,2009
"Pirate Radio (The Boat that Rocked, UK)",2009
The Road,2009
Taking Woodstock,2009
Post Grad,2009
Whatever Works,2009
Bandslam,2009
127 Hours,2010
A Nightmare on Elm Street,2010
Alice in Wonderland,2010
All About Steve,2010
Alpha and Omega,2010
Black Swan,2010
Brooklyn's Finest,2010
Buried,2010
Burlesque,2010
Case 39,2010
Cats & Dogs: The Revenge of Kitty Galore,2010
Charlie St. Cloud,2010
City Island,2010
Clash of the Titans,2010
Conviction,2010
Cop Out,2010
Country Strong,2010
Cyrus,2010
Date Night,2010
Daybreakers,2010
Dear John,2010
Death at a Funeral,2010
Despicable Me,2010
Devil,2010
Diary of a Wimpy Kid,2010
Dinner for Schmucks,2010
Due Date,2010
Easy A,2010
Eat Pray Love,2010
Edge of Darkness,2010
Extraordinary Measures,2010
