In Time,Regency Enterprises,38,55,The Riddle,Thriller,3122,3860,37.52,136.41,173.93,40,4.34825,12.05
Insidious,Sony,67,65,Monster Force,Horror,2408,5511,54.009,43,97.009,1.5,64.67266667,13.271
J.Edgar,Warner Bros,42,84,Wretched Excess,Drama,1910,5873,37.306,47.3,84.606,35,2.417314286,11.217
Jack and Jill,Happy Madison,4,59,Comedy,Comedy,3438,7273,74.16,75.52,149.68,79,1.894683544,25.003
Jane Eyre,Universal,85,77,Love,Romance,,,11.242,23.467,34.709,,,0.182
Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,1552,2470,8.305,151.772,160.077,45,3.557266667,3.833
Just Go With It,Happy Madison,19,63,Comedy,Romance,3548,8601,103.028,111.917,214.945,80,2.6868125,30.514
Killer Elite,Independent,25,48,Rivalry,Action,2986,3132,25.124,31.258,56.382,70,0.805457143,9.352
Kung Fu Panda 2,DreamWorks Animation,82,80,Rivalry,Animation,3925,12142,165.249,500.443,665.692,150,4.437946667,47.656
Larry Crowne,Universal,34,46,Discovery,Drama,2973,4405,35.608,36.4,72.008,30,2.400266667,13.096
Limitless,Virgin,69,73,Wretched Excess,Thriller,2756,6860,79.249,82.6,161.849,27,5.994407407,18.907
Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,,0.538,0.565,1.103,30,0.036766667,0.045
Margin Call,Independent,86,73,Sacrifice,Thriller,,,5.354,14.15,19.504,3.5,5.572571429,0.561
Mars Needs Moms,Disney,36,43,Rescue,Animation,3117,2218,21.392,17.6,38.992,150,0.259946667,6.914
Midnight in Paris,Sony,93,84,Love,Romance,944,6177,56.817,94.302,151.119,17,8.889352941,5.83
Mission Impossible 4,Paramount,93,86,Pursuit,Action,3448,8672,209.39,485.32,694.71,145,4.791103448,29.55
Moneyball,Columbia,95,89,Underdog,Drama,2993,6516,75.6,34.6,110.2,50,2.204,19.501
Monte Carlo,20th Century Fox,38,50,Love,Romance,2473,3014,23.186,16.48,39.666,20,1.9833,7.453
Mr. Popper's Penguins,20th Century Fox,47,54,Discovery,Comedy,3339,5524,68.224,119.137,187.361,55,3.406563636,18.445
My Week with Marilyn,The Weinstein Company,83,84,Love,Drama,247,7174,14.6,20.457,35.057,10,3.5057,1.75
New Year's Eve,Warner Bros.,8,48,Love,Romance,3505,3714,54.54,87.5,142.04,56,2.536428571,13.01
